CardType,TransactionAmount,TransactionTime,TransactionLocation,TransactionType
3,86.9736687929513,8/7/2019,0,0
3,104.479371046582,5/29/2018,0,0
2,122.134867419222,6/6/2019,1,0
3,90.8528625519422,7/5/2021,0,0
2,92.7450280233746,2/4/2021,0,0
2,83.0893019244409,11/3/2020,0,0
2,80.4748986775594,12/17/2019,0,0
2,90.2537890458541,2/3/2018,0,0
3,121.465490154696,7/31/2022,0,0
0,101.05487321816,8/6/2018,0,0
0,115.958290041519,8/7/2019,0,0
0,103.514273945733,12/17/2018,0,0
1,96.925107172503,8/2/2018,0,0
2,103.416212139164,6/4/2021,0,0
2,119.877799064671,2/1/2023,1,0
1,84.9801433366591,6/23/2022,0,0
1,81.7950290996786,6/29/2018,0,0
0,108.805718693883,2/18/2020,0,0
3,72.262648466226,3/17/2019,0,0
0,112.652141426885,6/24/2019,0,0
2,159.694789931615,3/27/2022,0,0
1,87.2159064791108,3/20/2023,1,0
1,123.38642737443,10/24/2019,1,0
3,96.8789769330982,10/4/2019,1,0
0,66.0029470684032,10/2/2022,0,0
2,95.6139003471602,1/22/2021,0,0
2,86.7398208977094,11/1/2020,1,0
1,101.563100392641,11/8/2018,0,0
1,119.630424133576,7/4/2022,1,0
0,74.8859010396513,2/12/2018,1,0
2,64.1602116970959,2/26/2023,0,0
3,111.68949169616,11/8/2019,0,0
0,121.051152589608,6/6/2020,1,0
1,78.8542808503706,2/3/2021,0,0
3,97.5022271564059,3/13/2020,0,0
0,101.269172263614,10/22/2018,0,0
0,87.2170415490313,4/19/2020,0,0
1,102.167369377208,3/26/2023,1,0
0,112.235137648166,10/16/2018,0,0
3,83.5819710210909,9/22/2020,0,0
2,109.733056108356,9/13/2021,1,0
3,106.961321486293,11/6/2018,0,0
2,95.5011999929605,2/11/2018,0,0
2,112.620377354397,11/29/2018,0,0
1,115.756197995028,4/26/2020,0,0
0,87.7400127715201,8/22/2022,1,0
3,87.3727011420603,4/18/2022,0,0
3,85.3713554283262,7/12/2021,0,0
0,79.0255485472608,10/1/2021,0,0
2,125.254870128259,7/7/2022,0,0
1,111.053041536923,9/16/2020,0,0
1,137.385771943386,9/25/2020,1,1
0,97.6385862570628,11/16/2022,0,0
1,81.5527569885764,11/5/2020,0,0
2,78.1692074017271,12/9/2021,0,0
0,109.043972142377,7/5/2019,1,0
3,86.1637308395027,2/13/2020,0,0
2,104.290256214163,10/30/2022,0,0
3,45.8283889572221,11/5/2019,0,0
2,93.9141461977563,12/6/2022,1,0
0,116.356735783308,11/28/2019,0,0
1,101.415269785977,6/8/2022,0,0
0,52.2970604854089,6/23/2018,0,0
0,85.5694370139477,1/20/2019,1,0
3,68.3180684711473,11/13/2021,0,0
2,104.675222415628,2/23/2021,1,0
2,89.8539261966347,7/29/2019,0,0
1,82.8711818236429,9/18/2021,0,0
3,120.357866243,12/16/2021,0,0
3,81.9634496970736,5/15/2022,0,0
1,118.419863327493,8/11/2022,0,0
3,87.4652267877013,11/22/2022,0,0
1,117.774267887031,8/3/2022,0,0
3,70.9011525274986,6/17/2018,0,0
1,110.125942771661,8/19/2021,0,0
1,114.24074941999,12/14/2021,0,0
1,49.5151702531754,3/28/2018,0,0
3,67.0289857212753,9/26/2021,0,0
3,78.504662896123,6/9/2021,0,0
2,112.024637381677,8/19/2019,0,0
0,109.741565177681,9/26/2019,0,0
3,80.6228238170333,11/18/2021,0,0
0,101.384751087927,5/11/2020,0,0
3,99.2153847096385,12/7/2020,0,0
3,136.44981456518,8/21/2019,0,0
1,115.701359181936,11/17/2020,0,0
1,107.978700422545,3/17/2023,0,0
1,82.3754831224935,12/25/2022,0,0
0,54.1499398772185,9/20/2020,1,0
1,130.695934405537,9/13/2021,0,0
2,111.997118716901,7/7/2022,0,0
3,75.0409520689223,5/20/2018,0,0
1,94.2386995099344,12/24/2019,0,0
0,101.488126768096,10/26/2018,0,0
1,90.105723941159,12/23/2021,0,0
3,114.880733916161,2/22/2022,0,0
0,92.2981723647753,6/13/2020,0,0
3,81.6458510981947,3/1/2022,0,0
2,84.4881873756707,4/10/2020,0,0
0,115.175084391703,9/10/2022,0,0
0,134.028037487539,8/14/2021,0,0
1,119.041440121456,8/21/2018,0,0
2,89.9789590030533,3/15/2023,0,0
1,63.963881818956,3/3/2020,1,0
1,103.557134898953,4/10/2020,0,0
2,73.3737091165959,1/31/2018,0,0
0,114.48910570619,2/25/2018,0,0
2,129.562878438417,3/15/2020,1,0
0,131.982305298184,3/19/2021,1,0
3,79.7499795405779,2/28/2018,0,0
1,85.8162064205494,4/21/2019,0,0
2,109.579320885163,5/5/2018,0,0
0,116.596230190454,9/3/2020,1,0
2,129.125248140976,8/13/2019,0,0
2,117.229817339619,4/28/2019,0,0
0,138.247168803411,8/5/2019,1,0
3,123.901854683999,6/29/2018,0,0
3,65.7261219714403,8/10/2022,0,0
2,74.149331239907,2/9/2019,0,0
3,113.92797300295,2/23/2020,1,0
3,75.8790147683355,11/1/2021,0,0
1,105.173303027569,7/7/2022,1,0
0,72.9991870698642,1/19/2019,0,0
3,130.132272020024,9/4/2021,0,0
1,86.788066960056,2/1/2021,1,0
1,95.789870050036,9/14/2018,0,0
1,69.5151949770151,7/7/2022,0,0
1,78.9278515034642,3/20/2019,0,0
0,94.5394480679635,10/16/2020,1,0
1,61.2618051093401,12/6/2022,0,0
3,99.451475386229,7/18/2022,0,0
1,94.7825223133831,3/4/2020,1,0
3,92.1380939825167,7/22/2018,0,0
2,100.742477613647,1/2/2022,1,0
1,92.8326627259868,8/13/2018,0,0
0,108.51215603262,3/24/2020,0,0
1,105.951184376796,5/23/2020,0,0
1,115.3037111012,3/17/2023,0,0
0,108.982927310738,4/1/2018,0,0
3,98.025578792517,8/22/2019,0,1
2,126.415476533603,11/12/2022,0,0
0,100.189262394233,2/12/2020,0,0
2,87.8754940985662,2/12/2023,0,0
0,77.2270011367368,4/20/2020,0,0
1,120.497656388074,12/22/2019,0,0
3,83.4060886238472,3/20/2023,0,0
3,127.894031942749,11/25/2019,1,0
3,124.634738156607,5/11/2018,0,0
1,88.2053094190413,5/13/2019,0,0
3,90.1988698087647,8/18/2018,1,0
3,108.625506132237,3/10/2018,1,0
0,127.783471275477,7/20/2021,0,0
1,84.8907357385728,7/6/2020,0,0
0,129.187593442107,5/13/2018,0,0
1,107.31658644188,3/11/2020,0,0
0,110.993369802249,9/29/2022,0,0
1,92.4190397479694,8/23/2022,0,0
2,114.049267820594,3/3/2018,0,0
2,134.720268017369,4/24/2022,0,0
1,111.866130882351,9/12/2022,0,0
3,92.5153764134682,11/8/2021,0,0
0,107.309101875851,1/22/2021,0,0
1,93.149301372351,8/29/2020,0,0
2,71.4371551756414,7/4/2021,0,0
2,108.498952335938,7/28/2022,0,0
2,119.085567721144,11/19/2018,0,0
0,109.483852638468,5/5/2018,0,0
3,88.47498830458,5/19/2018,0,0
0,107.946647985397,9/30/2022,0,0
0,60.9976354074244,3/31/2021,1,0
2,83.8825675159318,6/9/2020,0,0
0,140.475954454242,11/16/2021,0,0
2,68.4121332353688,6/2/2020,0,0
1,113.421059438576,4/3/2023,0,0
2,91.0333435730181,4/6/2023,0,0
2,102.107113268931,8/31/2020,0,0
1,101.963601575079,5/25/2018,1,0
1,81.9466953459006,9/21/2019,0,0
1,97.7181451359202,7/8/2021,0,0
3,119.708640167319,1/20/2023,0,0
0,92.043121611163,8/30/2019,0,0
3,143.645212856614,4/23/2018,0,0
2,80.9665173047023,6/23/2020,0,0
2,108.38533240385,4/29/2019,0,0
0,109.785630904086,2/15/2020,0,0
3,104.754261358541,4/4/2020,0,0
0,140.045369169469,11/6/2021,1,0
1,79.1008571891327,1/24/2023,0,0
0,86.6604232210585,7/10/2022,0,0
3,108.885209816552,3/29/2018,0,0
2,82.6254513800242,6/9/2019,0,0
3,119.754132360544,8/14/2018,1,0
1,96.5038649620928,2/16/2020,0,0
2,139.570370898835,11/2/2021,0,0
3,99.1264434625687,12/21/2019,0,0
3,116.178257820623,5/10/2018,0,0
2,67.4924739670213,4/8/2019,0,0
2,111.183743789057,12/31/2020,0,0
0,61.5541685500299,1/9/2018,0,0
1,122.405180412915,11/29/2020,1,0
3,141.869066958904,3/6/2023,0,0
3,91.0381531375257,1/4/2020,0,0
3,97.6397577104391,5/14/2022,0,0
1,88.8955749402714,7/9/2021,0,0
2,78.3107278899176,4/2/2020,0,0
3,124.880460602756,6/30/2021,0,0
0,120.24118918179,9/26/2022,0,0
3,119.075952369272,10/21/2019,0,0
